0;17
0;2
0;7
0;9
0;11
0;12
0;13
1;16
1;19
1;5
1;7
1;8
1;11
1;12
2;0
2;18
2;3
2;4
2;5
2;15
3;2
3;4
3;5
3;9
3;10
3;12
3;18
4;16
4;17
4;2
4;3
4;5
4;18
4;14
4;15
5;19
5;1
5;2
5;3
5;4
5;6
5;7
5;9
5;11
5;18
6;19
6;5
6;14
7;0
7;1
7;5
7;17
7;11
7;12
8;1
8;18
8;11
8;17
9;0
9;16
9;18
9;3
9;5
9;19
9;10
9;13
9;14
10;19
10;3
10;9
10;12
10;13
10;15
11;0
11;1
11;17
11;5
11;16
11;7
11;8
12;0
12;1
12;18
12;3
12;16
12;7
12;10
12;15
13;0
13;9
13;10
13;19
13;15
14;16
14;17
14;18
14;4
14;6
14;9
14;15
15;2
15;4
15;10
15;12
15;13
15;14
16;1
16;4
16;17
16;9
16;11
16;12
16;14
17;0
17;16
17;18
17;19
17;4
17;7
17;8
17;11
17;14
18;17
18;2
18;3
18;4
18;5
18;8
18;9
18;12
18;14
19;1
19;5
19;6
19;17
19;9
19;10
19;13
