0;27
0;26
0;3
0;34
1;23
1;3
1;15
2;10
3;0
3;1
3;35
4;12
4;14
4;31
5;25
5;10
5;19
7;34
7;15
8;18
9;28
9;39
10;16
10;33
10;2
10;5
10;11
10;28
11;10
11;36
12;35
12;4
13;34
13;35
13;28
14;4
14;21
15;1
15;23
15;7
16;32
16;17
16;10
17;16
17;34
18;8
18;23
19;32
19;5
20;22
21;29
21;14
22;20
23;32
23;1
23;18
23;15
25;5
25;38
25;39
26;0
27;0
27;36
28;34
28;35
28;37
28;9
28;10
28;13
29;21
31;4
32;16
32;19
32;23
33;10
34;0
34;17
34;28
34;13
34;7
35;28
35;3
35;12
35;13
36;27
36;11
37;28
37;39
38;25
39;9
39;37
39;25
