0;1
0;2
0;3
0;4
0;5
0;6
0;7
1;0
1;2
1;3
1;4
1;5
1;6
1;7
2;0
2;1
2;3
2;4
2;5
2;6
2;7
3;0
3;1
3;2
3;4
3;5
3;6
3;7
4;0
4;1
4;2
4;3
4;5
4;6
4;7
5;0
5;1
5;2
5;3
5;4
5;6
5;7
6;0
6;1
6;2
6;3
6;4
6;5
6;7
7;0
7;1
7;2
7;3
7;4
7;5
7;6
7;8
8;9
8;7
9;16
9;8
9;10
9;11
9;12
9;13
9;14
9;15
10;16
10;9
10;11
10;12
10;13
10;14
10;15
11;16
11;9
11;10
11;12
11;13
11;14
11;15
12;16
12;9
12;10
12;11
12;13
12;14
12;15
13;16
13;9
13;10
13;11
13;12
13;14
13;15
14;16
14;9
14;10
14;11
14;12
14;13
14;15
15;16
15;9
15;10
15;11
15;12
15;13
15;14
16;9
16;10
16;11
16;12
16;13
16;14
16;15
