0;16
0;11
0;5
0;13
1;16
1;18
1;4
1;6
1;13
1;14
2;16
2;11
2;12
2;13
3;16
3;18
3;4
3;5
3;6
3;9
3;11
3;15
4;16
4;1
4;3
4;17
4;5
4;19
4;7
4;10
4;11
4;15
5;0
5;16
5;3
5;4
5;10
5;12
5;15
6;1
6;3
6;17
6;8
6;11
6;13
6;14
7;19
7;9
7;18
7;11
7;4
8;14
8;12
8;13
8;6
8;15
9;19
9;10
9;3
9;18
9;7
10;17
10;18
10;19
10;4
10;5
10;9
10;13
10;15
11;0
11;2
11;3
11;4
11;6
11;7
12;8
12;17
12;2
12;19
12;5
13;0
13;1
13;2
13;6
13;17
13;8
13;10
13;16
14;8
14;1
14;17
14;6
14;15
15;3
15;4
15;5
15;8
15;10
15;14
16;0
16;1
16;2
16;3
16;4
16;5
16;13
17;4
17;6
17;10
17;12
17;13
17;14
18;1
18;10
18;3
18;9
18;7
19;9
19;10
19;4
19;12
19;7
